姓名,國文,英文,數學,社會,地理
黃淑芬,92,58,57,78,60
楊易政,63,96,92,70,65
周怡啟,64,86,91,57,89
魏秋萍,92,58,62,61,51
王德城,95,97,100,53,71
鄭琇亞,74,77,67,55,88
李政白,59,72,85,65,86
馮淑芬,74,98,88,57,76
張韋成,71,74,56,75,90
陳志偉,76,52,73,61,88
胡芳瑜,69,73,71,75,95
劉耿琦,80,73,59,70,95
劉旭士,57,90,78,80,52
蕭淑華,82,50,100,70,84
陳奇瑄,67,56,61,91,61
吳昕婷,95,50,83,56,94
林志成,84,54,78,85,86
郎慧萍,59,79,75,78,51
李雅怡,84,51,58,87,100
余丞苓,63,100,83,68,81
唐翊修,83,88,69,98,86
陳文賢,52,55,100,81,67
蔡至剛,63,87,61,98,70
高信宏,96,64,79,80,70
李彥伸,91,64,80,86,99
楊偉翔,82,73,90,82,74
金宜芳,77,53,71,78,75
陳彥治,89,91,87,91,61
林群清,52,86,59,91,66
張軒宸,86,66,56,84,51
劉慧君,67,58,89,78,79
張凡成,63,98,55,76,70
陳信念,65,92,86,51,94
黃名明,55,97,66,66,100
羅幸娥,58,69,91,94,64
謝哲維,77,74,84,50,64
黃江旭,59,74,83,52,60
藍哲嘉,56,78,89,76,82
朱士弘,93,88,68,89,85
黃必琪,64,82,81,97,55
